Unique Id,Company Name,City,State,Type,Status,Abbreviation
MAN1,"MANUFACTURERS DISTRIBUTOR, INC.",Odessa,Florida,vendor,Active,
MAX1,MAXIM TOOLSOLUTIONS,Stanford,Kentucky,vendor,Active,
MAZAK,MAZAK,Florence,Kentucky,vendor,Active,
MCK-MACH,MCKEAN MACHINERY,Brook Park,Ohio,vendor,Active,
MCMASTER,MCMASTER-CARR,Chicago,Illinois,vendor,Active,
MCNICHOLS,MCNICHOLS CO.,Nashville,Tennessee,vendor,Active,
MFC,MEADVILLE FORGING COMPANY,Meadville,Pennsylvania,Client Vendor,Active,Meadville
MENARDS,MENARDS,,Washington,vendor,Active,
MERIT,"MERITOR HEAVY VEHICLE SYSTEM LLC.,",Troy,Michigan,Client Vendor,Active,Meritor
MIM,MIDDLETOWN INDUSTRIAL MACHINE,Berea,Kentucky,vendor,Active,Middletown
MWF,"MILWAUKEE FORGE, LLC",Milwaukee,Wisconsin,Client Vendor,Active,Milwaukee
MISUMI,MISUMI,Schaumburg,Illinois,vendor,Active,
MFIN,MODERN FORGE - INDIANA,Merrillville,Indiana,Client Vendor,Active,Modern Forge
MFTN,MODERN FORGE - TENNESSEE,Piney Flats,Tennessee,Client Vendor,Active,Modern Forge
MJ,MONSTER JAWS,Placentia,California,vendor,Active,
MI,MOTION INDUSTRIES,London,Kentucky,vendor,Active,
MSC,MSC INDUSTRIAL SUPPLY CO.,St. Louis,Missouri,vendor,Active,
MUL1,MUL TECHNOLOGIES,Mequan,Wisconsin,vendor,Active,
MYTEE,MYTEE PRODUCTS,Aurora,Ohio,vendor,Active,
NAT-BRO,NATIONAL BRONZE MANUFACTURING CO.,Roseville,Michigan,vendor,Active,
NMP,"NATIONAL METAL PROCESSING, INC.",Richmond,Kentucky,vendor,Active,
NTS,"NATIONAL TOOL SALES, INC.",White Plains,New York,vendor,Active,
NEWEGG,NEWEGG INC.,,,vendor,Active,
NLM,"NIPPON LIGHT METAL GEORGIA, INC.",Adairsville,Georgia,Client Vendor,Active,Nippon
NOR-TOOL,NORTHERN TOOL,,,vendor,Active,
NGC,NORTHSIDE GRINDING COMPANY,Cincinnati,Ohio,vendor,Active,
NYCO,NYCO,Lawrenceburg,Kentucky,vendor,Active,
ORB,OFF ROAD BELTS,Rock Valley,Iowa,vendor,Active,
OKAMOTO,OKAMOTO CORP.,Vernon Kills,Illinois,vendor,Active,
ODF,OLD DOMINION FREIGHT,Lexington,Kentucky,vendor,Active,
ONL-MET,ONLINE METALS,Seattle,Washington,vendor,Active,
OTC,OTC INDUSTRIAL TECHNOLOGIES,Louisville,Kentucky,vendor,Active,
PUSA,PANDROL USA,Memphis,Tennessee,Client Vendor,Active,Pandrol
PTC,PENN TOOL CO.,Maplewood,New Jersey,vendor,Active,
PFI,"PERFORMANCE FORGE, INC.",Montebello,California,Client Vendor,Active,PFI
