ObjId,ObjType,ObjTxt,DescrTxt,EntryDate,OrderNo,Norm,Supplier,StorageLocation
3666,11,C-259,6mm OSG A-Brand Ball Endmill - 50mm Neck - 120mm OAL,2024-12-17 03:00:00,OSG-3056359,OSG,Rocket Supply,ZTO_3
3668,11,C-260,"3/8"" Insert for Millstar Bullmill - .015r",2024-12-17 03:00:00,MILL-BD-0375-N-.015,Millstar,Rocket Supply,ZTO_3
3670,11,C-261,M20x2.5 ISO Form Tap - Pulley Length,2024-12-17 03:00:00,OSG-1635520222,OSG,Rocket Supply,ZTO_3
3672,11,C-262,"3/8""-16 UNC Form Tap - Pulley Length",2024-12-17 03:00:00,OSG-1625538627,OSG,Rocket Supply,ZTO_3
3674,11,C-263,"5/8""-11 UNC OSG Form Tap",2024-12-17 03:00:00,OSG-1625058117,OSG,Rocket Supply,ZTO_3
3676,11,C-264,"0.578"" Allied TA Pro Cobalt Insert",2024-12-17 03:00:00,ALLI-150H-.578,Allied,Rocket Supply,ZTO_3
3678,11,C-265,"0.858"" Allied TA Pro Carbide Insert",2024-12-17 03:00:00,ALLI-TAP1-21.80,Allied,Rocket Supply,ZTO_3
3680,11,C-266,"1.250"" Allied TA Pro Cobalt Insert",2024-12-17 03:00:00,ALLI-152T-0108,Allied,Rocket Supply,ZTO_3
3682,11,C-267,"1/4"" OSG A-Brand Stub Length Carbide Drill - 3D",2024-12-17 03:00:00,OSG-6550025011,OSG,Rocket Supply,ZTO_3
3684,11,C-268,"1 3/4""-5 UNC OSG A-Brand Cut Tap",2024-12-17 03:00:00,OSG-1650508408,OSG,Rocket Supply,ZTO_2
3686,11,C-269,"0.694"" - 0.957"" Allied Series 1D TA Pro Inserted Spade Drill - 10D",2024-12-17 03:00:00,ALLI-HTA1D10-100F,Allied,Rocket Supply,ZTO_2
3688,11,C-270,"0.728"" - 0.767"" Sumitomo SMD Inserted Drill - 5D",2024-12-17 03:00:00,SUMI-SMDH075L,Sumitomo,Rocket Supply,ZTO_2
3690,11,C-271,"0.531"" - 0.570"" Sumitomo SMD Inserted Drill - 8D",2024-12-17 03:00:00,SUMI-SMDH0550,Sumitomo,Rocket Supply,ZTO_2
3692,11,C-272,"1.055"" - 1.094"" Sumitomo SMD Inserted Drill - 3D",2024-12-17 03:00:00,SUMI-SMDH107M,Sumitomo,Rocket Supply,ZTO_2
3694,11,C-273,"0.961"" - 1.380"" Allied Series 2 TA Inserted Spade Drill - 3D",2024-12-17 03:00:00,ALLI-22020S-125L,Allied,Rocket Supply,ZTO_2
3696,11,C-274,"1.055"" - 1.094"" Sumitomo SMD Inserted Drill - 8D",2024-12-17 03:00:00,SUMI-SMDH107D,Sumitomo,Rocket Supply,ZTO_2
3698,11,C-275,"0.977"" - 1.016"" Sumitomo SMD Inserted Drill - 5D",2024-12-17 03:00:00,SUMI-SMDH100L,Sumitomo,Rocket Supply,ZTO_2
3700,11,C-276,"0.499"" - 0.964"" Allied Series 0C TA Pro Inserted Spade Drill - 10D",2024-12-17 03:00:00,ALLI-HTA0C10-075F,Allied,Rocket Supply,ZTO_2
3702,11,C-277,"0.984"" Allied TA Pro Carbide Insert",2024-12-17 03:00:00,ALLI-TAP2-25.00,Allied,Rocket Supply,ZTO_2
3704,11,C-278,"0.690"" - 0.960"" Allied Series 1 TA Inserted Spade Drill - 12D",2024-12-17 03:00:00,ALLI-25010S-100F,Allied,Rocket Supply,ZTO_2
3706,11,C-279,"0.847"" - 0.898"" Sumitomo SMD Inserted Drill - 5D",2024-12-17 03:00:00,SUMI-SMDH087L,Sumitomo,Rocket Supply,ZTO_2
3708,11,C-280,"0.959"" - 1.380"" Allied Series 2B TA Pro Inserted Spade Drill - 10D",2024-12-17 03:00:00,ALLI-HTA2B10-125F,Allied,Rocket Supply,ZTO_2
3710,11,C-281,"0.790"" Carmex Single Flute Indexable Threadmill - 2.25"" Neck Length - 5"" OAL - 21mm Insert Length",2024-12-17 03:00:00,CARM-SRF0790K21,Carmex,Rocket Supply,ZTO_2
3712,11,C-282,"0.884"" MEL Insert for Sumitomo SMD Drill",2024-12-17 03:00:00,SUMI-SMDT2245MEL,Sumitomo,Rocket Supply,ZTO_4
3714,11,C-283,"1.004"" MEL Insert for Sumitomo SMD Drill",2024-12-17 03:00:00,SUMI-SMDT2550MEL,Sumitomo,Rocket Supply,ZTO_4
